Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-03,Ukraine,1,1,0,0
2020-03-04,Ukraine,0,1,0,0
2020-03-05,Ukraine,0,1,0,0
2020-03-06,Ukraine,0,1,0,0
2020-03-07,Ukraine,0,1,0,0
2020-03-08,Ukraine,0,1,0,0
2020-03-09,Ukraine,0,1,0,0
2020-03-10,Ukraine,0,1,0,0
2020-03-11,Ukraine,0,1,0,0
2020-03-12,Ukraine,0,1,0,0
2020-03-13,Ukraine,2,3,0,0
2020-03-14,Ukraine,0,3,1,1
2020-03-15,Ukraine,0,3,0,1
2020-03-16,Ukraine,0,3,0,1
2020-03-17,Ukraine,0,3,0,1
2020-03-18,Ukraine,11,14,1,2
2020-03-19,Ukraine,2,16,0,2
2020-03-20,Ukraine,0,16,0,2
2020-03-21,Ukraine,31,47,1,3
2020-03-22,Ukraine,0,47,0,3
2020-03-23,Ukraine,26,73,0,3
2020-03-24,Ukraine,11,84,0,3
2020-03-25,Ukraine,29,113,1,4
2020-03-26,Ukraine,43,156,1,5
2020-03-27,Ukraine,62,218,0,5
2020-03-28,Ukraine,93,311,3,8
2020-03-29,Ukraine,107,418,1,9
2020-03-30,Ukraine,62,480,2,11
2020-03-31,Ukraine,69,549,2,13
2020-04-01,Ukraine,120,669,4,17
2020-04-02,Ukraine,135,804,3,20
2020-04-03,Ukraine,183,987,3,23
2020-04-04,Ukraine,109,1096,5,28
2020-04-05,Ukraine,155,1251,4,32
2020-04-06,Ukraine,68,1319,6,38
2020-04-07,Ukraine,143,1462,7,45
2020-04-08,Ukraine,206,1668,7,52
2020-04-09,Ukraine,224,1892,5,57
2020-04-10,Ukraine,311,2203,12,69
2020-04-11,Ukraine,308,2511,4,73
2020-04-12,Ukraine,266,2777,10,83
2020-04-13,Ukraine,325,3102,10,93
2020-04-14,Ukraine,270,3372,5,98
2020-04-15,Ukraine,392,3764,10,108
2020-04-16,Ukraine,398,4162,7,115
2020-04-17,Ukraine,500,4662,10,125
2020-04-18,Ukraine,444,5106,8,133
2020-04-19,Ukraine,343,5449,8,141
2020-04-20,Ukraine,261,5710,10,151
2020-04-21,Ukraine,415,6125,10,161
2020-04-22,Ukraine,467,6592,13,174
2020-04-23,Ukraine,578,7170,13,187
2020-04-24,Ukraine,477,7647,6,193
2020-04-25,Ukraine,478,8125,8,201
2020-04-26,Ukraine,492,8617,8,209
2020-04-27,Ukraine,392,9009,11,220
2020-04-28,Ukraine,401,9410,19,239
2020-04-29,Ukraine,456,9866,11,250
2020-04-30,Ukraine,540,10406,11,261
2020-05-01,Ukraine,455,10861,11,272
2020-05-02,Ukraine,550,11411,7,279
2020-05-03,Ukraine,502,11913,9,288
2020-05-04,Ukraine,418,12331,15,303
2020-05-05,Ukraine,366,12697,13,316
2020-05-06,Ukraine,487,13184,11,327
2020-05-07,Ukraine,507,13691,13,340
2020-05-08,Ukraine,504,14195,21,361
2020-05-09,Ukraine,515,14710,15,376
2020-05-10,Ukraine,522,15232,15,391
2020-05-11,Ukraine,416,15648,17,408
2020-05-12,Ukraine,375,16023,17,425
2020-05-13,Ukraine,402,16425,14,439
2020-05-14,Ukraine,422,16847,17,456
2020-05-15,Ukraine,483,17330,20,476
2020-05-16,Ukraine,528,17858,21,497
2020-05-17,Ukraine,433,18291,17,514
2020-05-18,Ukraine,325,18616,21,535
2020-05-19,Ukraine,260,18876,13,548
2020-05-20,Ukraine,354,19230,16,564
2020-05-21,Ukraine,476,19706,15,579
2020-05-22,Ukraine,442,20148,9,588
2020-05-23,Ukraine,432,20580,17,605
2020-05-24,Ukraine,406,20986,12,617
2020-05-25,Ukraine,259,21245,6,623
2020-05-26,Ukraine,339,21584,21,644
2020-05-27,Ukraine,321,21905,14,658
2020-05-28,Ukraine,477,22382,11,669
2020-05-29,Ukraine,429,22811,10,679
2020-05-30,Ukraine,393,23204,17,696
2020-05-31,Ukraine,468,23672,12,708
2020-06-01,Ukraine,340,24012,10,718
2020-06-02,Ukraine,328,24340,9,727
2020-06-03,Ukraine,483,24823,8,735
2020-06-04,Ukraine,588,25411,13,748
2020-06-05,Ukraine,553,25964,14,762
2020-06-06,Ukraine,550,26514,15,777
2020-06-07,Ukraine,485,26999,11,788
2020-06-08,Ukraine,463,27462,9,797
2020-06-09,Ukraine,394,27856,13,810
2020-06-10,Ukraine,525,28381,23,833
2020-06-11,Ukraine,689,29070,21,854
2020-06-12,Ukraine,683,29753,16,870
2020-06-13,Ukraine,753,30506,10,880
2020-06-14,Ukraine,648,31154,9,889
2020-06-15,Ukraine,656,31810,12,901
2020-06-16,Ukraine,666,32476,12,913
2020-06-17,Ukraine,758,33234,30,943
2020-06-18,Ukraine,829,34063,23,966
2020-06-19,Ukraine,921,34984,19,985
2020-06-20,Ukraine,841,35825,9,994
2020-06-21,Ukraine,735,36560,8,1002
2020-06-22,Ukraine,681,37241,10,1012
2020-06-23,Ukraine,833,38074,23,1035
2020-06-24,Ukraine,940,39014,16,1051
2020-06-25,Ukraine,994,40008,16,1067
2020-06-26,Ukraine,1109,41117,19,1086
2020-06-27,Ukraine,948,42065,24,1110
2020-06-28,Ukraine,917,42982,19,1129
2020-06-29,Ukraine,646,43628,18,1147
2020-06-30,Ukraine,706,44334,12,1159
2020-07-01,Ukraine,664,44998,14,1173
2020-07-02,Ukraine,890,45888,12,1185
2020-07-03,Ukraine,875,46763,27,1212
2020-07-04,Ukraine,914,47677,15,1227
2020-07-05,Ukraine,823,48500,22,1249
2020-07-06,Ukraine,543,49043,13,1262
2020-07-07,Ukraine,564,49607,21,1283
2020-07-08,Ukraine,807,50414,24,1307
2020-07-09,Ukraine,810,51224,20,1327
2020-07-10,Ukraine,819,52043,18,1345
2020-07-11,Ukraine,800,52843,27,1372
2020-07-12,Ukraine,678,53521,11,1383
2020-07-13,Ukraine,612,54133,15,1398
2020-07-14,Ukraine,638,54771,14,1412
2020-07-15,Ukraine,836,55607,15,1427
2020-07-16,Ukraine,848,56455,18,1445
2020-07-17,Ukraine,809,57264,11,1456
2020-07-18,Ukraine,847,58111,21,1477
2020-07-19,Ukraine,731,58842,8,1485
2020-07-20,Ukraine,651,59493,13,1498
2020-07-21,Ukraine,673,60166,20,1518
2020-07-22,Ukraine,829,60995,16,1534
2020-07-23,Ukraine,856,61851,17,1551
2020-07-24,Ukraine,972,62823,20,1571
2020-07-25,Ukraine,1106,63929,19,1590
