Date_reported,New_cases
2020-03-03,1
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,11
2020-03-19,2
2020-03-20,0
2020-03-21,31
2020-03-22,0
2020-03-23,26
2020-03-24,11
2020-03-25,29
2020-03-26,43
2020-03-27,62
2020-03-28,93
2020-03-29,107
2020-03-30,62
2020-03-31,69
2020-04-01,120
2020-04-02,135
2020-04-03,183
2020-04-04,109
2020-04-05,155
2020-04-06,68
2020-04-07,143
2020-04-08,206
2020-04-09,224
2020-04-10,311
2020-04-11,308
2020-04-12,266
2020-04-13,325
2020-04-14,270
2020-04-15,392
2020-04-16,398
2020-04-17,500
2020-04-18,444
2020-04-19,343
2020-04-20,261
2020-04-21,415
2020-04-22,467
2020-04-23,578
2020-04-24,477
2020-04-25,478
2020-04-26,492
2020-04-27,392
2020-04-28,401
2020-04-29,456
2020-04-30,540
2020-05-01,455
2020-05-02,550
2020-05-03,502
2020-05-04,418
2020-05-05,366
2020-05-06,487
2020-05-07,507
2020-05-08,504
2020-05-09,515
2020-05-10,522
2020-05-11,416
2020-05-12,375
2020-05-13,402
2020-05-14,422
2020-05-15,483
2020-05-16,528
2020-05-17,433
2020-05-18,325
2020-05-19,260
2020-05-20,354
2020-05-21,476
2020-05-22,442
2020-05-23,432
2020-05-24,406
2020-05-25,259
2020-05-26,339
2020-05-27,321
2020-05-28,477
2020-05-29,429
2020-05-30,393
2020-05-31,468
2020-06-01,340
2020-06-02,328
2020-06-03,483
2020-06-04,588
2020-06-05,553
2020-06-06,550
2020-06-07,485
2020-06-08,463
2020-06-09,394
2020-06-10,525
2020-06-11,689
2020-06-12,683
2020-06-13,753
2020-06-14,648
2020-06-15,656
2020-06-16,666
2020-06-17,758
2020-06-18,829
2020-06-19,921
2020-06-20,841
2020-06-21,735
2020-06-22,681
2020-06-23,833
2020-06-24,940
2020-06-25,994
2020-06-26,1109
2020-06-27,948
2020-06-28,917
2020-06-29,646
2020-06-30,706
2020-07-01,664
2020-07-02,890
2020-07-03,875
2020-07-04,914
2020-07-05,823
2020-07-06,543
2020-07-07,564
2020-07-08,807
2020-07-09,810
2020-07-10,819
2020-07-11,800
2020-07-12,678
2020-07-13,612
2020-07-14,638
2020-07-15,836
2020-07-16,848
2020-07-17,809
2020-07-18,847
2020-07-19,731
2020-07-20,651
2020-07-21,673
2020-07-22,829
2020-07-23,856
2020-07-24,972
2020-07-25,1106
2020-07-26,920
2020-07-27,807
2020-07-28,919
2020-07-29,1022
2020-07-30,1197
2020-07-31,1090
2020-08-01,1172
2020-08-02,1112
2020-08-03,990
2020-08-04,1061
2020-08-05,1271
2020-08-06,1318
2020-08-07,1453
2020-08-08,1489
2020-08-09,1199
2020-08-10,1008
2020-08-11,1158
2020-08-12,1433
2020-08-13,1592
2020-08-14,1732
2020-08-15,1847
2020-08-16,1637
2020-08-17,1464
2020-08-18,1616
2020-08-19,1967
2020-08-20,2134
2020-08-21,2106
2020-08-22,2328
2020-08-23,1987
2020-08-24,1799
2020-08-25,1658
2020-08-26,1670
2020-08-27,1974
2020-08-28,2438
2020-08-29,2481
2020-08-30,2096
2020-08-31,2141
2020-09-01,2088
2020-09-02,2495
2020-09-03,2430
2020-09-04,2723
2020-09-05,2836
2020-09-06,2107
2020-09-07,2174
2020-09-08,2411
2020-09-09,2551
2020-09-10,2582
2020-09-11,3144
2020-09-12,3103
2020-09-13,2476
2020-09-14,2462
2020-09-15,2905
2020-09-16,2958
2020-09-17,3584
2020-09-18,3228
2020-09-19,3240
2020-09-20,2966
2020-09-21,2675
2020-09-22,2884
2020-09-23,3497
2020-09-24,3372
2020-09-25,3565
2020-09-26,3833
2020-09-27,3130
2020-09-28,2671
2020-09-29,3627
2020-09-30,4027
2020-10-01,4069
2020-10-02,4633
2020-10-03,4661
2020-10-04,4140
2020-10-05,3774
2020-10-06,4348
2020-10-07,4753
2020-10-08,5397
2020-10-09,5804
2020-10-10,5728
2020-10-11,4768
2020-10-12,4420
2020-10-13,5133
2020-10-14,5590
2020-10-15,5062
2020-10-16,5992
2020-10-17,6410
2020-10-18,5231
2020-10-19,4766
2020-10-20,5469
2020-10-21,6719
2020-10-22,7053
2020-10-23,7517
2020-10-24,7014
2020-10-25,6088
2020-10-26,5426
2020-10-27,6677
2020-10-28,7474
2020-10-29,7342
2020-10-30,8312
2020-10-31,8752
2020-11-01,7959
2020-11-02,6754
2020-11-03,8899
2020-11-04,9524
2020-11-05,9850
2020-11-06,9721
2020-11-07,10746
2020-11-08,9397
2020-11-09,8687
2020-11-10,10179
2020-11-11,10611
2020-11-12,11057
2020-11-13,11787
2020-11-14,12524
2020-11-15,10681
2020-11-16,9832
2020-11-17,11968
2020-11-18,12496
2020-11-19,13357
2020-11-20,14575
2020-11-21,14580
2020-11-22,12079
2020-11-23,10945
2020-11-24,12287
2020-11-25,13882
2020-11-26,15331
2020-11-27,16218
2020-11-28,16294
2020-11-29,12978
2020-11-30,9946
2020-12-01,12498
2020-12-02,13141
2020-12-03,14496
2020-12-04,15131
2020-12-05,13825
2020-12-06,11590
2020-12-07,8641
2020-12-08,10811
2020-12-09,12585
2020-12-10,13371
2020-12-11,13514
2020-12-12,12811
2020-12-13,9176
2020-12-14,6451
2020-12-15,8416
2020-12-16,10622
2020-12-17,12047
2020-12-18,12630
2020-12-19,11742
2020-12-20,8325
2020-12-21,6545
2020-12-22,8513
2020-12-23,10136
2020-12-24,11490
2020-12-25,11035
2020-12-26,7709
2020-12-27,6113
2020-12-28,4385
2020-12-29,6988
2020-12-30,7986
2020-12-31,9699
2021-01-01,9432
2021-01-02,5038
2021-01-03,4576
2021-01-04,4158
2021-01-05,5334
2021-01-06,6911
2021-01-07,8997
2021-01-08,5676
2021-01-09,4846
2021-01-10,5011
2021-01-11,4288
2021-01-12,5116
2021-01-13,6409
2021-01-14,7925
2021-01-15,8199
2021-01-16,7729
2021-01-17,5990
2021-01-18,3034
2021-01-19,3939
2021-01-20,4383
2021-01-21,5583
2021-01-22,5348
2021-01-23,4928
2021-01-24,3915
2021-01-25,2516
2021-01-26,2779
2021-01-27,3776
2021-01-28,5529
2021-01-29,5181
2021-01-30,4685
2021-01-31,3177
2021-02-01,2030
2021-02-02,2394
2021-02-03,3285
2021-02-04,5082
2021-02-05,4923
2021-02-06,4310
2021-02-07,3370
2021-02-08,2141
2021-02-09,2656
2021-02-10,3409
2021-02-11,5039
2021-02-12,4773
2021-02-13,5182
2021-02-14,3094
2021-02-15,2332
2021-02-16,3143
2021-02-17,4286
